Block,Location Description,Latitude,Longitude,X Coordinate,Y Coordinate,Community Area,Ward,District,Beat,LocationID
039XX S ALBANY AVE,APARTMENT,41.822383667,-87.702059518,1156315.0,1878499.0,58,14,9,921,749243
014XX E 87TH ST,SMALL RETAIL STORE,41.736870876,-87.588748303,1187470.0,1847586.0,45,8,4,412,30533
045XX S LAVERGNE AVE,RESIDENCE,41.810714711,-87.748132093,1143786.0,1874158.0,56,23,8,814,164434
029XX W 31ST ST,STREET,41.837354844,-87.698290466,1157302.0,1883962.0,30,12,10,1033,332251
035XX W LE MOYNE ST,RESIDENCE-GARAGE,41.908190661,-87.71510879,1152533.0,1909741.0,23,26,14,1422,255261
012XX N MASSASOIT AVE,RESIDENTIAL YARD (FRONT/BACK),41.903041675,-87.769330251,1137786.0,1907763.0,25,29,25,2531,488011
024XX W 63RD ST,ALLEY,41.779234743,-87.685207125,1161027.0,1862810.0,66,15,8,825,385762
069XX S CHAPPEL AVE,STREET,41.769101609,-87.57515703,1191076.0,1859363.0,43,5,3,331,637223
034XX W BALMORAL AVE,RESIDENCE,41.979348587,-87.714156177,1152605.0,1935673.0,13,39,17,1712,199378
061XX N BROADWAY,CAR WASH,41.993856393,-87.660384912,1167184.0,1941070.0,77,48,24,2433,310211
0000X W 112TH PL,APARTMENT,41.689856173,-87.624043246,1177978.0,1830373.0,49,34,5,522,205286
072XX S LAFAYETTE AVE,STREET,41.763155586,-87.626513426,1177084.0,1857077.0,69,6,7,731,583595
051XX W CARMEN AVE,APARTMENT,41.973420261,-87.756125519,1141208.0,1933433.0,11,45,16,1623,73977
040XX S DREXEL BLVD,PARKING LOT/GARAGE(NON.RESID.),41.820878657,-87.604956384,1182787.0,1878160.0,36,4,2,214,219408
007XX W 49TH ST,RESIDENTIAL YARD (FRONT/BACK),41.805240111,-87.643814252,1172241.0,1872374.0,61,3,9,935,624414
037XX W ROOSEVELT RD,GAS STATION,41.866244992,-87.719735069,1151383.0,1894447.0,29,24,10,1011,217802
011XX S CANAL ST,STREET,41.868541914,-87.639235361,1173303.0,1895451.0,28,2,1,131,64884
049XX W HUBBARD ST,RESIDENTIAL YARD (FRONT/BACK),41.888659061,-87.749015157,1143352.0,1902559.0,25,28,15,1532,30579
048XX N DAMEN AVE,RESIDENCE-GARAGE,41.969563783,-87.679206971,1162135.0,1932178.0,4,47,20,2032,682983
088XX S HARPER AVE,STREET,41.734600096,-87.5868657,1187991.0,1846763.0,48,8,4,412,541904
035XX N NATOMA AVE,RESIDENCE,41.944323799,-87.792278372,1131444.0,1922766.0,17,36,16,1632,607873
060XX S JUSTINE ST,STREET,41.784399043,-87.663126037,1167035.0,1864738.0,67,15,7,713,426418
053XX W RACE AVE,RESIDENTIAL YARD (FRONT/BACK),41.890022969,-87.758808744,1140682.0,1903038.0,25,37,15,1523,537278
053XX S KENNETH AVE,RESIDENCE,41.795541367,-87.734253857,1147608.0,1868655.0,62,23,8,815,377858
020XX W JARVIS AVE,ALLEY,42.015133834,-87.682099908,1161222.0,1948778.0,1,49,24,2424,694004
021XX N SPAULDING AVE,RESIDENCE-GARAGE,41.919926586,-87.710325389,1153804.0,1914027.0,22,26,14,1413,213989
030XX W ROOSEVELT RD,SIDEWALK,41.866434577,-87.702555188,1156062.0,1894550.0,29,28,11,1134,120359
112XX S EGGLESTON AVE,RESIDENCE,41.689814753,-87.633852173,1175299.0,1830336.0,49,34,22,2233,134117
025XX N MONITOR AVE,VEHICLE NON-COMMERCIAL,41.926524229,-87.772158817,1136960.0,1916315.0,19,30,25,2515,596927
011XX W 47TH PL,OTHER,41.807839907,-87.653645847,1169553.0,1873300.0,61,3,9,921,91021
015XX W DIVISION ST,SIDEWALK,41.903348344,-87.667243031,1165576.0,1908074.0,24,1,14,1424,507275
040XX W IRVING PARK RD,CTA BUS STOP,41.953643409,-87.72801475,1148903.0,1926279.0,16,39,17,1722,397309
062XX N LAWNDALE AVE,SIDEWALK,41.994604332,-87.721461313,1150579.0,1941218.0,13,50,17,1711,359201
006XX S ALBANY AVE,OTHER,41.873467548,-87.703455374,1155798.0,1897111.0,27,28,11,1134,455804
021XX W 71ST ST,OTHER RAILROAD PROP / TRAIN DEPOT,41.764763046,-87.677772524,1163095.0,1857552.0,67,17,7,735,587021
077XX S KEELER AVE,STREET,41.752400876,-87.726391029,1149863.0,1852950.0,70,13,8,834,541835
108XX S AVENUE L,RESIDENTIAL YARD (FRONT/BACK),41.698508852,-87.536487696,1201863.0,1833735.0,52,10,4,432,532028
014XX W 72ND PL,STREET,41.76221548,-87.661472939,1167549.0,1856658.0,67,17,7,734,725039
032XX W 64TH PL,VEHICLE NON-COMMERCIAL,41.776218144,-87.703850594,1155950.0,1861673.0,66,15,8,823,171269
132XX S VERNON AVE,RESIDENTIAL YARD (FRONT/BACK),41.652780752,-87.611361377,1181555.0,1816892.0,54,9,5,533,160353
057XX S HOMAN AVE,RESIDENCE,41.789074941,-87.708334116,1154693.0,1866349.0,63,14,8,822,366555
024XX N HARLEM AVE,STREET,41.923669844,-87.806243671,1127691.0,1915216.0,18,36,25,2512,414417
048XX W 48TH ST,STREET,41.805786201,-87.743881893,1144957.0,1872370.0,56,23,8,814,93190
022XX W WASHINGTON BLVD,STREET,41.883051362,-87.682455068,1161491.0,1900646.0,28,2,12,1332,229847
027XX W 84TH ST,STREET,41.740914228,-87.691239069,1159486.0,1848834.0,70,18,8,835,208663
071XX W ARMITAGE AVE,RESIDENCE,41.916221873,-87.803237028,1128526.0,1912507.0,25,36,25,2512,673968
062XX N KEDZIE AVE,APARTMENT,41.994799412,-87.709271975,1153892.0,1941313.0,2,50,24,2413,50276
024XX W 45TH PL,STREET,41.81115334,-87.685171581,1160949.0,1874441.0,58,12,9,922,364194
027XX W HARRISON ST,RESIDENCE,41.873806289,-87.694728011,1158174.0,1897252.0,27,28,11,1135,59932
085XX S STONY ISLAND AVE,SMALL RETAIL STORE,41.739307243,-87.585700982,1188294.0,1848481.0,45,8,4,412,617216
001XX E 113TH ST,STREET,41.689008982,-87.618857313,1179397.0,1830076.0,49,9,5,531,376558
033XX N SPRINGFIELD AVE,RESIDENCE PORCH/HALLWAY,41.941922443,-87.724821222,1149802.0,1922014.0,21,30,17,1732,351045
003XX E 75TH ST,RESTAURANT,41.758361509,-87.617681742,1179508.0,1855350.0,69,6,6,623,426893
051XX S JUSTINE ST,APARTMENT,41.800524148,-87.663541175,1166876.0,1870613.0,61,16,9,934,56491
032XX N CICERO AVE,STREET,41.939249093,-87.746877513,1143808.0,1920998.0,15,30,16,1634,402888
022XX S WABASH AVE,STREET,41.85228339,-87.625488976,1177096.0,1889557.0,33,2,1,131,380077
003XX S PAULINA ST,STREET,41.877072479,-87.669179334,1165123.0,1898495.0,28,2,12,1211,101430
054XX S ASHLAND AVE,SIDEWALK,41.795247682,-87.664619276,1166597.0,1868688.0,61,16,9,932,285873
0000X E ERIE ST,OTHER,41.894082849,-87.627572935,1176403.0,1904784.0,8,42,18,1834,250824
055XX W IRVING PARK RD,STREET,41.953202038,-87.765153132,1138802.0,1926049.0,15,38,16,1624,307418
083XX S MARQUETTE AVE,OTHER,41.743676477,-87.558816648,1195617.0,1850138.0,46,7,4,423,727586
067XX S MERRILL AVE,RESIDENTIAL YARD (FRONT/BACK),41.772977543,-87.572816492,1191702.0,1860781.0,43,5,3,331,432248
027XX W GREGORY ST,RESIDENCE,41.982214311,-87.697728409,1157064.0,1936750.0,4,40,20,2011,671816
025XX W 47TH ST,STREET,41.808373076,-87.688530144,1160041.0,1873421.0,58,12,9,922,319376
090XX S THROOP ST,SIDEWALK,41.729792628,-87.655593905,1169246.0,1844856.0,73,21,22,2222,553159
012XX N PARKSIDE AVE,STREET,41.902596045,-87.766884023,1138453.0,1907605.0,25,29,25,2531,556226
010XX N ELSTON AVE,PARKING LOT/GARAGE(NON.RESID.),41.900841446,-87.656675351,1168460.0,1907183.0,24,27,12,1323,218198
006XX W BARRY AVE,RESIDENCE,41.937889819,-87.645353184,1171434.0,1920708.0,6,44,19,1934,246793
086XX S BLACKSTONE AVE,STREET,41.737402995,-87.587859147,1187711.0,1847782.0,45,8,4,412,207566
026XX W POPE JOHN PAUL II DR,APARTMENT,41.815594333,-87.691168667,1159302.0,1876047.0,58,12,9,912,84017
075XX S ASHLAND AVE,PARKING LOT/GARAGE(NON.RESID.),41.757601044,-87.663606511,1166980.0,1854972.0,67,17,6,611,356324
035XX W FRANKLIN BLVD,STREET,41.889979683,-87.714560903,1152730.0,1903106.0,23,27,11,1123,103256
098XX S OAKLEY AVE,RESIDENTIAL YARD (FRONT/BACK),41.714757548,-87.679456634,1162774.0,1839327.0,72,19,22,2213,190359
066XX S CARPENTER ST,APARTMENT,41.77371372,-87.650703184,1170454.0,1860871.0,68,17,7,724,254535
001XX E CHESTNUT ST,RESIDENCE,41.89837293,-87.625035314,1177081.0,1906353.0,8,42,18,1833,102936
104XX S TORRENCE AVE,CTA BUS,41.705945023,-87.559643215,1195515.0,1836387.0,51,10,4,434,300485
047XX W HARRISON ST,STREET,41.873193039,-87.743222575,1144968.0,1896934.0,25,24,11,1131,308293
054XX W JACKSON BLVD,PORCH,41.876584106,-87.760401555,1140281.0,1898138.0,25,29,15,1522,724424
073XX S COTTAGE GROVE AVE,PARKING LOT/GARAGE(NON.RESID.),41.761605415,-87.605473167,1182829.0,1856560.0,69,6,3,323,31514
052XX W BERTEAU AVE,STREET,41.956942135,-87.757936019,1140756.0,1927425.0,15,38,16,1624,139989
076XX S UNION AVE,RESIDENCE,41.755569613,-87.641725703,1172956.0,1854279.0,71,17,6,621,410899
053XX N MONTCLARE AVE,STREET,41.978538859,-87.804691789,1127990.0,1935213.0,10,41,16,1613,546156
086XX S KILDARE AVE,APARTMENT,41.735645524,-87.728743455,1149264.0,1846840.0,70,18,8,834,376748
016XX S SPRINGFIELD AVE,VACANT LOT/LAND,41.858342244,-87.72244262,1150666.0,1891562.0,29,24,10,1014,623018
029XX W 64TH ST,APARTMENT,41.777245494,-87.696559436,1157936.0,1862062.0,66,15,8,823,31365
021XX S WASHTENAW AVE,SIDEWALK,41.852432698,-87.693009972,1158700.0,1889467.0,30,28,10,1023,525439
036XX N WAYNE AVE,RESIDENCE,41.947784543,-87.6628253,1166652.0,1924276.0,6,44,19,1923,620034
016XX S LAKE SHORE DR E,STREET,41.860167594,-87.617513168,1179245.0,1892448.0,33,2,1,132,121980
007XX W 95TH ST,STREET,41.721472398,-87.642322225,1172893.0,1841853.0,73,21,22,2223,46662
018XX W NORTH AVE,SIDEWALK,41.910536773,-87.674122871,1163683.0,1910679.0,24,1,14,1424,723875
114XX S STATE ST,RESIDENCE,41.68659998,-87.622925778,1178293.0,1829189.0,49,34,5,522,226190
080XX S COTTAGE GROVE AVE,PARKING LOT/GARAGE(NON.RESID.),41.748458232,-87.605159961,1182955.0,1851770.0,44,6,6,631,201438
103XX S WALLACE ST,STREET,41.705682572,-87.637939281,1174136.0,1836109.0,49,34,22,2232,531062
001XX N LECLAIRE AVE,"SCHOOL, PUBLIC, BUILDING",41.882313791,-87.752690113,1142367.0,1900240.0,25,28,15,1532,286295
005XX E OAKWOOD BLVD,RESIDENCE,41.822679359,-87.613737432,1180388.0,1878796.0,38,3,2,214,726542
040XX N CENTRAL PARK AVE,STREET,41.954428995,-87.717831155,1151671.0,1926585.0,16,33,17,1723,721871
019XX N SEMINARY AVE,STREET,41.916912263,-87.655381304,1168766.0,1913042.0,7,32,18,1811,537981
074XX S CALUMET AVE,RESIDENCE,41.759563069,-87.6167301,1179764.0,1855790.0,69,6,3,323,293032
022XX N SOUTHPORT AVE,RESIDENCE,41.922345195,-87.663220319,1166617.0,1915005.0,7,32,18,1811,735642
003XX W 91ST ST,RESIDENCE,41.728936122,-87.631321454,1175874.0,1844597.0,49,21,6,634,256419
079XX S JUSTINE ST,SIDEWALK,41.750100994,-87.662218606,1167380.0,1852242.0,71,21,6,612,700655
055XX W JACKSON BLVD,APARTMENT,41.876556686,-87.763163065,1139529.0,1898123.0,25,29,15,1522,22235
017XX W WASHINGTON BLVD,STREET,41.883224705,-87.671491582,1164476.0,1900732.0,28,27,12,1224,739037
006XX W IRVING PARK RD,SIDEWALK,41.954607083,-87.647107189,1170908.0,1926796.0,6,46,19,1925,477812
006XX N LATROBE AVE,STREET,41.891711126,-87.756707487,1141250.0,1903657.0,25,28,15,1524,483857
040XX W 26TH ST,PARKING LOT/GARAGE(NON.RESID.),41.844241543,-87.725417387,1149892.0,1886418.0,30,22,10,1031,372471
034XX E 106TH ST,ALLEY,41.702752062,-87.53973108,1200963.0,1835273.0,52,10,4,432,135149
012XX N CICERO AVE,APARTMENT,41.902968556,-87.745986389,1144141.0,1907779.0,25,37,25,2533,281515
092XX S MARQUETTE AVE,VEHICLE NON-COMMERCIAL,41.727389677,-87.558100125,1195866.0,1844205.0,48,7,4,423,639411
013XX W WILSON AVE,STREET,41.965301563,-87.664362481,1166184.0,1930656.0,3,46,19,1913,178826
033XX N ORANGE AVE,STREET,41.940294722,-87.823951591,1122836.0,1921245.0,17,36,16,1631,326128
056XX S WASHTENAW AVE,RESIDENCE-GARAGE,41.791105021,-87.691288474,1159336.0,1867123.0,63,16,8,824,574518
062XX S PARK SHORE EAST CT,RESIDENCE,41.781874364,-87.587864899,1187569.0,1863987.0,42,5,3,314,259708
069XX S CORNELL AVE,RESIDENCE PORCH/HALLWAY,41.768852233,-87.584415936,1188551.0,1859250.0,43,5,3,332,616667
070XX S PRAIRIE AVE,RESIDENCE,41.766920643,-87.618510364,1179256.0,1858467.0,69,6,3,322,649831
046XX W BELDEN AVE,RESIDENCE,41.92245415,-87.743073871,1144885.0,1914885.0,19,31,25,2522,568346
024XX W WALTON ST,STREET,41.89845944,-87.687654071,1160033.0,1906250.0,24,1,12,1212,447941
011XX S WHIPPLE ST,RESIDENTIAL YARD (FRONT/BACK),41.867362005,-87.70203208,1156202.0,1894889.0,29,28,11,1134,100281
017XX E 69TH ST,STREET,41.769728607,-87.583298676,1188853.0,1859572.0,43,5,3,332,179546
038XX W FULLERTON AVE,RESIDENCE,41.924520553,-87.723641691,1150168.0,1915675.0,22,30,25,2525,577578
039XX N GREENVIEW AVE,RESIDENTIAL YARD (FRONT/BACK),41.953242392,-87.667473745,1165372.0,1926255.0,6,47,19,1922,191048
009XX W MONTANA ST,OTHER,41.926380636,-87.651345417,1169837.0,1916501.0,7,43,19,1932,521757
128XX S BUTLER DR,GOVERNMENT BUILDING/PROPERTY,41.662419741,-87.579853588,1190135.0,1820478.0,51,10,4,434,223183
037XX W 70TH PL,STREET,41.765100007,-87.715806271,1152718.0,1857598.0,65,13,8,833,600487
015XX W 69TH ST,SIDEWALK,41.768562128,-87.663195593,1167061.0,1858967.0,67,17,7,725,129821
071XX S JEFFERY BLVD,CTA BUS STOP,41.76587359,-87.576294705,1190776.0,1858184.0,43,5,3,333,465139
024XX E 106TH ST,CHA APARTMENT,41.702732808,-87.564757215,1194129.0,1835204.0,51,10,4,434,138283
131XX S BRAINARD AVE,CONSTRUCTION SITE,41.657282082,-87.557133744,1196360.0,1818661.0,55,10,4,433,209175
066XX N CLARK ST,RESIDENCE,42.002849447,-87.672251041,1163933.0,1944322.0,1,49,24,2432,599298
022XX W WINNEMAC AVE,ALLEY,41.973109096,-87.684977358,1160556.0,1933458.0,4,47,20,2031,692952
019XX W CHICAGO AVE,SIDEWALK,41.895927235,-87.676172074,1163166.0,1905351.0,24,32,12,1212,459751
063XX S HOMAN AVE,STREET,41.777664842,-87.707953638,1154827.0,1862192.0,66,15,8,823,394940
020XX S LEAVITT ST,STREET,41.854186177,-87.680802389,1162021.0,1890131.0,31,25,12,1234,380260
068XX S CORNELL AVE,RESIDENCE,41.770842987,-87.585012307,1188382.0,1859974.0,43,5,3,332,735058
007XX E 61ST ST,DRIVEWAY - RESIDENTIAL,41.784040653,-87.60687678,1182377.0,1864732.0,42,20,3,313,417599
031XX N MANGO AVE,SIDEWALK,41.937699679,-87.770112888,1137490.0,1920391.0,19,30,25,2514,507022
043XX W BELMONT AVE,STREET,41.938970289,-87.736441726,1146648.0,1920916.0,16,31,17,1731,531032
012XX N KEELER AVE,STREET,41.903841769,-87.731255173,1148149.0,1908125.0,23,37,25,2534,101491
005XX N LAVERGNE AVE,ALLEY,41.889481679,-87.750506095,1142944.0,1902856.0,25,28,15,1532,188148
007XX N SACRAMENTO BLVD,VEHICLE-COMMERCIAL,41.893990113,-87.702155577,1156097.0,1904592.0,23,27,12,1221,464642
035XX W FLOURNOY ST,RESIDENTIAL YARD (FRONT/BACK),41.872682634,-87.714041159,1152917.0,1896804.0,27,24,11,1133,482056
103XX S HALSTED ST,APARTMENT,41.706219652,-87.642811511,1172804.0,1836294.0,73,34,22,2232,51868
022XX N MC VICKER AVE,"SCHOOL, PRIVATE, BUILDING",41.92130007,-87.776845438,1135697.0,1914403.0,19,37,25,2512,315761
026XX W HADDON AVE,STREET,41.902031609,-87.692896686,1158596.0,1907541.0,24,1,12,1211,47643
035XX S GILES AVE,STREET,41.830104461,-87.619312226,1178846.0,1881489.0,35,2,2,212,456398
038XX W 70TH ST,RESIDENCE-GARAGE,41.765975122,-87.718305135,1152034.0,1857912.0,65,13,8,833,554008
013XX N CLYBOURN AVE,STREET,41.90581693,-87.642420821,1172326.0,1909027.0,8,27,18,1821,449192
003XX S CENTRAL AVE,APARTMENT,41.876171958,-87.764716015,1139107.0,1897980.0,25,29,15,1522,181635
018XX N BISSELL ST,RESIDENCE PORCH/HALLWAY,41.915130748,-87.652049382,1169678.0,1912400.0,7,43,18,1813,149225
034XX N CLARK ST,TAVERN/LIQUOR STORE,41.943969821,-87.653911137,1169088.0,1922905.0,6,44,19,1924,44916
059XX N NAVARRE AVE,STREET,41.989378961,-87.791264322,1131616.0,1939186.0,10,41,16,1611,305585
032XX W 63RD ST,STREET,41.778962112,-87.703790763,1155959.0,1862673.0,66,15,8,823,185261
018XX S WABASH AVE,PARKING LOT/GARAGE(NON.RESID.),41.857338981,-87.625598414,1177051.0,1891399.0,33,3,1,131,738293
074XX S BENNETT AVE,APARTMENT,41.760020102,-87.579229717,1189994.0,1856044.0,43,8,3,324,61623
014XX N MENARD AVE,RESIDENCE,41.906217749,-87.770650506,1137419.0,1908918.0,25,29,25,2531,430359
060XX S WESTERN AVE,"SCHOOL, PRIVATE, GROUNDS",41.783757424,-87.683764609,1161408.0,1864461.0,66,16,8,825,687980
043XX S MOZART ST,STREET,41.814570845,-87.695624928,1158090.0,1875665.0,58,12,9,922,469857
121XX S STEWART AVE,RESIDENCE PORCH/HALLWAY,41.673511214,-87.632143653,1175814.0,1824399.0,53,34,5,523,157699
012XX W 49TH ST,STREET,41.805070706,-87.656862436,1168684.0,1872284.0,61,20,9,933,9818
058XX W GRAND AVE,ALLEY,41.919755138,-87.77122605,1137230.0,1913850.0,19,37,25,2515,636267
045XX S ROCKWELL ST,RESIDENCE,41.810858745,-87.689392905,1159799.0,1874325.0,58,12,9,922,336324
017XX N MENARD AVE,RESIDENCE PORCH/HALLWAY,41.911748741,-87.770366801,1137483.0,1910934.0,25,29,25,2531,415992
043XX S ARCHER AVE,CURRENCY EXCHANGE,41.815187612,-87.702456674,1156226.0,1875876.0,58,14,9,922,521968
015XX N CENTRAL AVE,STREET,41.908115186,-87.765869051,1138716.0,1909618.0,25,29,25,2531,398713
008XX W BARRY AVE,ALLEY,41.938155079,-87.65025334,1170100.0,1920794.0,6,44,19,1933,140506
059XX S MAPLEWOOD AVE,STREET,41.78565818,-87.687474454,1160391.0,1865146.0,66,16,8,824,236002
024XX W CULLOM AVE,RESIDENCE-GARAGE,41.959478745,-87.690365799,1159128.0,1928480.0,5,47,19,1911,181086
048XX W CONGRESS PKWY,SIDEWALK,41.87405601,-87.746148365,1144169.0,1897243.0,25,24,15,1533,537583
029XX W WARREN BLVD,STREET,41.88195741,-87.699809966,1156768.0,1900212.0,27,2,12,1331,259134
009XX N MONTICELLO AVE,STREET,41.898193207,-87.717625819,1151874.0,1906093.0,23,27,11,1112,583768
015XX E 73RD ST,RESIDENCE,41.762401633,-87.587558861,1187714.0,1856892.0,43,5,3,324,537381
070XX S CHAPPEL AVE,ALLEY,41.766809722,-87.575096041,1191100.0,1858528.0,43,5,3,331,259466
031XX W ROOSEVELT RD,SIDEWALK,41.866428839,-87.703509785,1155802.0,1894546.0,29,24,11,1134,35536
043XX W THOMAS ST,RESIDENCE,41.90070717,-87.734799946,1147192.0,1906976.0,23,37,11,1111,227713
034XX S FEDERAL ST,STREET,41.831805451,-87.629017033,1176196.0,1882087.0,35,3,2,211,144946
041XX W OAKDALE AVE,APARTMENT,41.934483017,-87.730573824,1148256.0,1919292.0,21,31,25,2523,105702
053XX S ARCHER AVE,OTHER,41.798941621,-87.741150018,1145719.0,1869881.0,56,23,8,815,433279
073XX S DR MARTIN LUTHER KING JR DR,ALLEY,41.761565049,-87.615194048,1180177.0,1856523.0,69,6,3,323,473805
058XX S SAWYER AVE,APARTMENT,41.787292752,-87.704603965,1155715.0,1865707.0,63,14,8,822,324086
037XX W WABANSIA AVE,RESIDENCE,41.911782594,-87.719662844,1151284.0,1911041.0,23,26,25,2535,501421
050XX S WINCHESTER AVE,ALLEY,41.802553909,-87.673323689,1164203.0,1871332.0,61,16,9,931,672963
032XX W FOSTER AVE,"SCHOOL, PRIVATE, GROUNDS",41.975739484,-87.709505896,1153879.0,1934367.0,13,39,17,1713,395991
015XX N CENTRAL PARK AVE,SIDEWALK,41.908402573,-87.71675257,1152085.0,1909815.0,23,26,14,1422,90640
040XX W ARTHINGTON ST,STREET,41.870016119,-87.726028701,1149659.0,1895809.0,26,24,11,1132,469487
040XX W JACKSON BLVD,STREET,41.877080518,-87.726160106,1149605.0,1898383.0,26,28,11,1115,70984
006XX E 69TH ST,CHA HALLWAY/STAIRWELL/ELEVATOR,41.769452949,-87.6087643,1181907.0,1859412.0,42,6,3,321,3069
023XX W VAN BUREN ST,SIDEWALK,41.876104373,-87.685136257,1160780.0,1898109.0,28,2,12,1225,341534
027XX W 36TH ST,APARTMENT,41.828298284,-87.693261544,1158697.0,1880672.0,58,12,9,911,117556
007XX N MAYFIELD AVE,RESIDENCE PORCH/HALLWAY,41.894087875,-87.772266548,1137008.0,1904495.0,25,29,15,1511,333050
027XX S HARDING AVE,APARTMENT,41.84174108,-87.723264804,1150485.0,1885511.0,30,22,10,1031,321995
033XX W MONROE ST,OTHER,41.879611416,-87.709395197,1154164.0,1899338.0,27,28,11,1124,403929
004XX W DEMING PL,OTHER,41.929037018,-87.641251588,1172576.0,1917491.0,7,43,19,1935,633909
002XX W HUBBARD ST,OTHER,41.889976378,-87.634574144,1174509.0,1903272.0,8,42,18,1831,627173
025XX N AVERS AVE,RESIDENCE,41.927177272,-87.72318277,1150286.0,1916644.0,22,30,25,2524,523119
093XX S ELIZABETH ST,RESIDENCE,41.724367334,-87.654236925,1169632.0,1842882.0,73,21,22,2222,237725
041XX N LONG AVE,STREET,41.956307444,-87.762177021,1139604.0,1927186.0,15,38,16,1624,179776
026XX N MASON AVE,RESIDENTIAL YARD (FRONT/BACK),41.928218591,-87.77465022,1136278.0,1916928.0,19,30,25,2514,398320
002XX S LOTUS AVE,SIDEWALK,41.877252029,-87.761717486,1139921.0,1898379.0,25,29,15,1522,597268
011XX W GARFIELD BLVD,SIDEWALK,41.793806102,-87.654186523,1169446.0,1868185.0,68,16,7,712,494342
045XX W GRAND AVE,FACTORY/MANUFACTURING BUILDING,41.911799561,-87.740655414,1145570.0,1911007.0,23,31,25,2533,280840
065XX S DR MARTIN LUTHER KING JR DR,STREET,41.775963639,-87.615517372,1180045.0,1861769.0,42,20,3,312,147
028XX E 76TH ST,RESIDENCE,41.758569618,-87.555947378,1196351.0,1855572.0,43,7,4,421,706125
005XX W 63RD ST,STREET,41.779838702,-87.63920651,1173572.0,1863128.0,68,20,7,722,443393
095XX S MERRION AVE,SIDEWALK,41.722205376,-87.569942897,1192650.0,1842287.0,51,7,4,431,563443
053XX S HAMLIN AVE,STREET,41.796365659,-87.71834472,1151944.0,1868986.0,62,23,8,822,268950
106XX S LA SALLE ST,STREET,41.701342512,-87.626930773,1177155.0,1834552.0,49,34,5,512,241374
074XX S JEFFERY BLVD,SIDEWALK,41.759873699,-87.576163642,1190831.0,1855998.0,43,8,3,333,439498
0000X E 117TH ST,STREET,41.681648685,-87.621955222,1178573.0,1827387.0,53,9,5,532,420161
006XX N MAYFIELD AVE,SIDEWALK,41.891417282,-87.772176064,1137039.0,1903522.0,25,29,15,1511,521421
062XX W GRAND AVE,OTHER,41.921792919,-87.78230512,1134210.0,1914573.0,19,29,25,2512,719932
037XX N BOSWORTH AVE,STREET,41.94928933,-87.667706041,1165320.0,1924814.0,6,44,19,1922,6099
0000X N MASON AVE,SIDEWALK,41.880865396,-87.773248858,1136772.0,1899675.0,25,29,15,1513,696785
001XX E 103RD PL,RESIDENCE PORCH/HALLWAY,41.706319443,-87.619617854,1179137.0,1836382.0,49,9,5,512,153345
065XX S CORNELL DR,STREET,41.776068603,-87.585087211,1188345.0,1861878.0,42,5,3,331,726367
009XX N ST LOUIS AVE,SIDEWALK,41.897986876,-87.713958355,1152873.0,1906025.0,23,27,11,1121,243732
089XX S BLACKSTONE AVE,APARTMENT,41.732780038,-87.588044497,1187675.0,1846097.0,48,8,4,413,189028
025XX N ASHLAND AVE,STREET,41.927637759,-87.668232503,1165238.0,1916923.0,7,32,19,1932,314065
047XX S WABASH AVE,VACANT LOT/LAND,41.808566234,-87.624437225,1177514.0,1873629.0,38,3,2,224,124087
051XX S WINCHESTER AVE,VACANT LOT/LAND,41.800399331,-87.673268781,1164224.0,1870547.0,61,16,9,932,476032
039XX W 63RD ST,RESIDENTIAL YARD (FRONT/BACK),41.778675913,-87.72142114,1151151.0,1862534.0,65,13,8,823,590164
039XX N HERMITAGE AVE,VEHICLE NON-COMMERCIAL,41.952929013,-87.672605401,1163977.0,1926130.0,6,47,19,1922,561110
061XX S WABASH AVE,APARTMENT,41.783221505,-87.623785166,1177768.0,1864395.0,40,20,3,311,50214
008XX S KILBOURN AVE,STREET,41.869896474,-87.737767656,1146462.0,1895743.0,26,24,11,1131,608360
004XX N SPRINGFIELD AVE,RESIDENTIAL YARD (FRONT/BACK),41.888874703,-87.723459252,1150310.0,1902686.0,23,27,11,1122,474524
0000X W 43RD ST,APARTMENT,41.816469966,-87.627592979,1176630.0,1876502.0,38,3,2,215,279024
021XX E 71ST ST,ALLEY,41.766271578,-87.572980005,1191679.0,1858337.0,43,5,3,331,524240
118XX S MICHIGAN AVE,STREET,41.678673233,-87.620531068,1178971.0,1826306.0,53,9,5,532,624607
068XX W BYRON ST,STREET,41.950919016,-87.79655312,1130266.0,1925162.0,17,38,16,1632,477841
054XX S CLAREMONT AVE,STREET,41.794443669,-87.682307191,1161776.0,1868358.0,63,16,9,932,175974
087XX S EXCHANGE AVE,VEHICLE NON-COMMERCIAL,41.736906763,-87.55280491,1197280.0,1847686.0,46,10,4,423,370216
111XX S INDIANA AVE,APARTMENT,41.692142076,-87.618266113,1179549.0,1831219.0,49,9,5,531,292773
024XX S HOMAN AVE,SIDEWALK,41.847586512,-87.710003767,1154083.0,1887667.0,30,22,10,1024,225769
014XX W FARGO AVE,RESIDENCE,42.017141967,-87.666697164,1165402.0,1949542.0,1,49,24,2422,528041
048XX S CALUMET AVE,STREET,41.806916008,-87.618091605,1179249.0,1873042.0,38,3,2,224,328864
039XX N CALIFORNIA AVE,STREET,41.952961001,-87.698210303,1157012.0,1926089.0,16,33,17,1733,418203
018XX W 51ST ST,VACANT LOT/LAND,41.801261094,-87.67137113,1164739.0,1870865.0,61,16,9,932,186138
